Date, Aircraft Registration,Departure,Destination,Route,Duration,Flight Start Time (HH:MM),Flight Stop Time (HH:MM),Distance (NM),Day Landings,Night Landings,Night,Instrument,Simulated Instrument,Cross Country,Solo,PIC,SIC,Dual Received,Dual Given,Remarks,Approach 1,Approach 2,Approach 3,Approach 4,Approach 5,Approach 6,Approach 7,Approach 8,Approach 9,Approach 10,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name,Field Name
2015-08-30,N2044X,8NC8,8NC8,8NC8-W95-8NC8,2.7,,,298.8,2,0,0,0.1,0,2.7,0,2.7,0,0,0,To Ocracoke and back for beach fun with Lorne and Lauren Tonon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16,N2044X,KGAI,8NC8,,2,,,201.6,1,0,0,0,0,2,2,2,0,0,0,Flight back home after Rockville visit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,N2044X,8NC8,KGAI,,2.1,,,201.6,1,0,0,0,0,2.1,2.1,2.1,0,0,0,Flight to GAI to visit parents and see Lynn's show in Baltimore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,N2044X,8NC8,8NC8,8NC8-KJNX-5W5-KTTA-5NC3-KTDF-8NC8,3.8,,,171.4,9,0,0,0,1,3.8,0,3.8,0,3.8,0,BFR IPC and high performance sign off with Paul Hesse.,1-ILS-KTTF-03-HOLDING,1-ILS-KTDF-06-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,TF-FTO,BIRF,BIRK,,1,,,67.8,1,0,0,0,0,1,0,1,0,1,0,Flight back from Rif airport on Snæfellsnes peninsula to Reykjavík with Sabine.  Flew around Snæfellsjökull volcano/glacier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-19,N5275W,KPHL,KMTN,,0.7,,,63.5,1,0,0,0,0,0.7,0.7,0.7,0,0,0,Return to Baltimore after NYC tour Philly dinner w LIsa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-18,N5275W,KMTN,KPHL,,3.2,,,63.2,0,1,3.2,0,0,3.2,3.2,3.2,0,0,0,Hudson River Corridor w Lisa.  MTN to VZ bridge through bravo to GW bridge then low back to VS and PHIL.  Circled SoL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,N1318Q,KMTN,KMTN,KMTN-KCXY-KMTN,1.7,,,114.3,0,2,1.7,0,0,1.7,1.7,1.7,0,0,0,Trip to Capital City Harrisburg to interview Emily S for PSU SHC.  IFR filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,N110CT,KMTN,KMTN,KMTN-N68-KTHV-KMTN,2.3,,,146,2,1,1,0,0,2.3,2.3,2.3,0,0,0,SHC interviews in Chambersburg and York. Cold flying jacket on cowl for engine warmth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,N2298W,KRDU,KBUY,,0.8,,,34.9,1,0,0,0,0,0,0.8,0.8,0,0,0,Flight RDU to Burlington for instrument rating check ride.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,N2298W,KRDU,KRDU,KRDU-KBUY-KRDU,1.6,,,0,3,0,0,0,1.2,0,0,1.6,0,1.6,0,IFR checkride prep unusual attitudes compass turns approaches PFD failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,N2298W,KBUY,KBUY,,1,,,0,0,2,0.9,0,0.9,0,0,1,0,0,0,Instrument check ride satisfactory. Examiner Zenda Liess,1-VOR-KBUY-0-HOLDING,1-GPS-KBUY-24-HOLDING,1-ILS-KBUY-6-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,N2298W,KBUY,KRDU,,0.5,,,34.9,0,1,0.5,0,0,0,0.5,0.5,0,0,0,Back to RDU (FlightGest) after IFR check ride.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,REDBIRD,XXX,XXX,,1.4,,,0,0,0,0,0,1.3,0,0,0,0,1.4,0,,1-GPS-KRDU-32-HOLDING,1-ILS-KRDU-23L-HOLDING,1-VOR-KRDU-23L-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,N110CT,KMTN,KMTN,,1,,,0,0,1,1,0,0,0,1,1,0,0,0,Air tour of inner harbor w/ Grace Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-18,N5275W,KMTN,KMTN,KMTN-KRJD-KGED-KSBY-KESN-KMTN,2.5,,,158,2,0,0,0,2,2.5,0,2.5,0,2.5,0,IFR training control/performance settings GPS 12 RJD VOR 22 GED GPS 23 SBY ILS 4 ESN.  Tim Crisp CFII,1-ILS-ESN-4-HOLDING,1-VOR-GED-2-HOLDING,2-GPS-XXX-0-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,N5275W,KMTN,KMTN,KMTN-KLNS-KMTN,1.9,,,96.2,1,0,0,0,1.5,0,0,1.9,0,1.9,0,Autopilot coupled approach hold control performance flight director.  J Sherr CFII,1-GPS-MTN-15-HOLDING,1-ILS-LNS-8-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-16,N1318Q,KMTN,KMTN,,1.2,,,0,1,0,0,0,0.9,0,0,1.2,0,1.2,0,Partial panel AHRS/ADC failure.  DME Arc.  VOR/DME 15 MTN approach.  J Sherr CFII,1-VOR-MTN-15-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-14,N1318Q,KMTN,KMTN,KMTN-W48-KLNS-W48-KMTN,2.4,,,111.7,1,2,2,0,2,0,0.3,2.4,0,0,0,IR training with David Sinopoli safety pilot.  Intercepting and tracking VOR and GPS courses holds crosswind correction VOR/DME 31 at LNS.,1-VOR-KLNS-31-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-14,N577MA,KMTN,KMTN,,0.2,,,0,1,0,0,0,0,0,0.2,0.2,0,0,0,Aborted takeoff for tachymeter failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-02,N5275W,KMTN,KMTN,KMTN-KFME-KRMN-KLKU-KOMH-KCHO-KLUA-KOKV-KMRB-KFDK-KFME-KMTN,5.2,,,309.7,0,4,5.2,0,4.3,5.2,0,5.2,0,0,0,IFR training flight w Chris Michaelis safety pilot.  VOR-33 RMN GPS-27 LKU VOR/DME-A OMH visual CHO for fuel GPS-4 LUA ILS-32 OKV ILS-26 MRB VOR-A FDK GPS-10 FME.,2-ILS-XXX-0-HOLDING,3-GPS-XXX-0-HOLDING,3-VOR-XXX-0-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-01,N1318Q,KMTN,KMTN,KMTN-KRJD-KMTN,0.8,,,66.59999999999999,3,0,0,0,0,0,0.8,0.8,0,0,0,Fun flight w Sonya et Andrew Z. Steep turns power-off stalls touch-and-goes landing at Ridgely Airpark to switch seats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,N1318Q,KMTN,KMTN,KMTN-KFME-KDMW-KTHV-KHGR-N68-KFDK-KFME-KMTN,3.3,,,224.3,0,4,3.3,0,2.5,3.3,0,3.3,0,0,0,IFR training with Chris Michaelis (safety pilot). Approaches: DMW VOR-34 THV GPS-35 HGR ILS-27 N68 VOR/DME-B FDK ILS-23 FME GPS-10,2-GPS-XXX-0-HOLDING,2-ILS-XXX-0-HOLDING,2-VOR-XXX-0-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-10,N110CT,KMTN,KMTN,KMTN-W29-KMTN,0.9,,,42.6,0,2,0.8,0,0,0,0.9,0.9,0,0,0,Flight w Elisabet P to Bay Bridge airport.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-07,N1318Q,KMTN,KMTN,KMTN-KCGS-KCGE-KMTN,1.8,,,131,3,0,0,0,0,1.8,1.8,1.8,0,0,0,Fun flight w Rachel P.  Picked her up at College Park flew low around the Bay touch and go at Cambridge back to Martin State for dinner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-02,N5275W,KMTN,KMTN,KMTN-KDMW-KFDK-KMTN,1.7,,,97.90000000000001,2,0,0,0,1.5,0,0,1.7,0,1.7,0,IFR-filed enroute nav missed approach at KDMW.,1-ILS-FDK-23-HOLDING,1-LDA-MTN-33-HOLDING,1-VOR-DMW-34-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-26,N5275W,KMTN,KMTN,KMTN-KDMW-KMTN,1,,,64.8,1,0,0,0.3,0.5,0,0,1,0,1,0,IFR training; hand flown to Carroll County for VOR 34 with hold and published missed.  Autopilot procedures and coupled approach back to MTN for GPS 15 full stop.,1-GPS-KMTN-15-HOLDING,1-VOR-KDMW-34-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-14,N110CT,KMTN,KMTN,KMTN-KPHL-69N-KPHL-KMTN,3.8,,,239,4,0,0,0,0,3.8,3.8,3.8,0,0,0,To Philly to pick up Lisa V to Slatington for beautiful 17 mi run back to Philly for dinner etc then home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-01,N5275W,KMTN,KMTN,KMTN-KPHL-26N-KPHL-KMTN,4.1,,,220.7,2,4,2.8,0,0,4.1,4.1,4.1,0,0,0,To Philly to pick up Lisa Eva and Jerome then to Ocean City NJ. Play on beach and boardwalk fly the Atlantic City skyline at night.  Then back to Philly to drop and Baltimore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-28,N1318Q,KMTN,KMTN,KMTN-KOQN-KMTN,1.6,,,110.9,0,2,1.6,0,0,1.6,1.6,1.6,0,0,0,Dropped Srishti at Brandywine to see her family after dinner in Baltimore.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-16,N577MA,KMTN,KMTN,KMTN-KEVY-KMTN,1.3,,,68.3,0,2,1.3,0,0,0,1.3,1.3,0,0,0,Night flight w Coralie; maneuvering over the bay and one landing at KEVY.  Clear night fun flight.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-09,N110CT,KMTN,KMTN,KMTN-KOYM-KMTN,3.3,,,315.1,2,0,0,0,0,3.3,3.3,3.3,0,0,0,Round-trip with Lorne to visit Grampa for his birthday.  Lunch at West Wind tour of the Elk Visitor Center and back home.  Over KUNV at 10500 ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-27,N1318Q,KCHO,KMTN,KCHO-KCGS-KMTN,1.8,,,119,1,1,0.3,0,0,1.8,1.8,1.8,0,0,0,Return with Lea and Melinda dropping them at College Park.  Another Dulles East transition.  Dinner w Melinda and hi to Kristen and Lee in College Park.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-27,N1318Q,KCHO,KCHO,,0.8,,,0,3,0,0,0,0,0,0.8,0.8,0,0,0,Birthday ride with Marcel McNicoll; air tour of Le Bleu Ridge touch-and-go x2 at KCHO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-26,N1318Q,KMTN,KCHO,KMTN-KCGS-KCHO,2.1,,,119.4,2,0,0,0,0,2.1,2.1,2.1,0,0,0,Picked up Lea and Melinda in College Park; continued towards W13 via Dulles East transition diverted to kCHO for weather over the hills.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-29,N110CT,KMTN,KMTN,KMTN-KTEB-KLNS-KMTN,4.3,,,301,1,2,2.8,0,0,4.3,4.3,4.3,0,0,0,Drop Lys Finn in Teterboro before return to MTN diverted to Lancaster for Wx over Philly.  5 hr delay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-28,N1318Q,KMTN,KMTN,KMTN-KGAI-KMTN,1.3,,,72.59999999999999,2,0,0,0,0,0,1.3,1.3,0,0,0,Drop Suz and Matt off at KGAI (diverted from KCGS for clouds) and back to KMTN.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-25,N110CT,KMTN,KMTN,KMTN-KESN-KMTN,1.3,,,70.40000000000001,0,3,1.3,0,0,0,1.3,1.3,0,0,0,Flight date with Anna F after Clydes dinner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,N5275W,KMTN,KMTN,,1.3,,,0,3,1,0.1,0,0.9,0,0,1.3,0,1.3,0,KMTN LDA-33 x4 bracketing x-wind landings. John Burton CFII,4-LDA-KMTN-33-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-13,N5275W,KMTN,KMTN,,1.1,,,0,0,1,0.5,0,0.9,0,0,1.1,0,1.1,0,KMTN VOR/DME-15 Holds arcs speed changes.  John Burton CFII,1-TACAN-KMTN-15-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-12,N1318Q,KMTN,KMTN,KMTN-W13-KMTN,3.5,,,281,1,1,1.3,0,0,3.5,3.5,3.5,0,0,0,To Waynesboro VA with Lea Mara Meg for hike Le Bleu Ridge; SFRA and Bravo transition on return over IAD and BWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-10,N5275W,KMTN,KMTN,KMTN-KDMW-KMTN,1.2,,,64.8,1,1,0.8,0.9,0,0,0,1.2,0,1.2,0,Radio nav; ATC clearances and proc; KMTN LOC-15 KCMW VOR-34 circle 16 missed; John Burton CFII,1-LOC-KMTN-15-HOLDING,1-VOR-KDMW-34-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-05,N110CT,KMTN,KMTN,KMTN-KUNV-KMTN,3.8,,,225.5,1,6,2.7,0,0,3.8,3.8,3.8,0,0,0,To Penn State for SHC Alumni thing; EMS cookout and air tours x 5; flight back to MTN; all uneventful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-20,N110CT,KMTN,KMTN,KMTN-KTHV-KMTN,0.9,,,83,0,2,0.9,0,0,0,0.9,0.9,0,0,0,Drop Josh H in York after APS conference; misadventure with brakes; Brett admin to the rescue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-16,N110CT,KRDU,KMTN,KRDU-KAVC-KXSA-KMTN,4,,,241,4,0,0,0,0,4,4,4,0,0,0,Flight back to KMTN after Durham weekend. Tough Wx. Stops at Mecklenburg Co to check Wx and get lunch with SAfrican Air Force guy; stop in Tappahannock to check Wx.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-14,N110CT,KMTN,KRDU,,3.1,,,235.6,0,1,3.1,0,0,3.1,3.1,3.1,0,0,0,Night cross-country to Durham to visit Bill and Lorne see DUMC SFS etc.  Uneventful.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-08,N110CT,KMTN,KMTN,KMTN-KTGI-KCGE-KMTN,2.5,,,185.2,2,2,1.3,0,0,2.5,2.5,2.5,0,0,0,To Tangier Island w/ Lea S-M; discovery that the Diamond needs little priming and crabs are summer only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,N110CT,KMTN,KMTN,,0.8,,,0,0,6,0.8,0,0,0,0.8,0.8,0,0,0,Solo pattern work in the Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,N110CT,KMTN,KMTN,,1.5,,,0,0,3,1.5,0,0.2,0,0,1.5,0,1.5,0,Steep turns slow flight power on/off stalls pilotage; Diamond checkout; MB 3239972CFI 5/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-20,N110CT,KMTN,KMTN,,0.4,,,0,0,0,0.4,0,0,0,0,0.4,0,0.4,0,Ground training for check-out followed by taxi for departure; bad mag check on run-up; aborted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,N5275W,KUNV,KMTN,KUNV-KOQN-KMTN,2,,,171.4,0,2,2,0,0,2,2,2,0,0,0,Late night to Brandywine to drop Cecilia; then MTN home. VFR LOC-33 @ KMTN w/ PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-15,N5275W,KMTN,KUNV,KMTN-KOQN-KUNV,2.1,,,171.4,0,2,2,0,0,2.1,2.1,2.1,0,0,0,Picked up Cecilia @ Brandywine; then to State College for wings and Thon with McGrath; Tilden; et al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,N5275W,KCHO,KMTN,KCHO-KMTN,1.5,,,119.3,0,1,1.5,0,0,1.5,1.5,1.5,0,0,0,Return to MTN after dinner with Lorne and team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-08,N5275W,KMTN,KCHO,KMTN-KCHO,1.6,,,119.3,1,0,0,0,0,1.6,1.6,1.6,0,0,0,MTN to Charlottesville for Lorne\'s indoor tennis championships w/ Duke. GPS nav; autopilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,N5275W,KMTN,KMTN,,0.5,,,0,3,0,0,0,0,0,0,0.5,0,0.5,0,Pattern work; touch & go; BFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,N5275W,KMTN,KMTN,,1.5,,,0,2,2,0.2,0,0.4,0,0,1.5,0,1.5,0,Slow flight; hood work; unusual attitudes; pilotage; LDA approach; short field & soft field landings,1-LDA-KMTN-33-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,N5275W,KMTN,KMTN,,1,,,0,1,0,0,0,0,0,0,1,0,1,0,Power off stalls; tower pattern ops; recurrent training; slow flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-30,N31TA,KEYW,KEYW,,1,,,0,1,0,0,0,0,0,0,1,0,1,0,Loops; rolls; Cuban eights; Immelmanns; power-off spins; accelerated spins; flat spins; accelerated-on-flat spins. Fred Cabanas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-17,N991KC,KLHZ,KLHZ,,0.5,,,0,1,0,0,0,0,0,0,0,0,0.5,0,R-22 orientation and discovery flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-05,N8432C,KAVL,KHNZ,KAVL-KHNZ,2.4,,,203.3,1,0,0,0,0,2.4,2.4,2.4,0,0,0,Flight back home from Asheville with Andrea Pretorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-04,N8432C,KHNZ,KAVL,KHNZ-KAVL,2.4,,,203.3,2,0,0,0,0,2.4,2.4,2.4,0,0,0,Flight to Asheville; NC w/ Andrea Pretorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-06,N8432U,KHNZ,KHNZ,,0.8,,,0,1,0,0,0,0,0,0.8,0.8,0,0,0,Air tour of Duke with Grampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-04,N8432C,W95,KHNZ,W95-KHNZ,1.7,,,146.2,1,0,0,0,0,1.7,1.7,1.7,0,0,0,Flight back from Okracoke Island with Andrea Pretorian after amazing adventures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-03,N8432C,KHNZ,W95,KHNZ-W95,1.8,,,146.2,1,0,0,0,0,1.8,1.8,1.8,0,0,0,Flight to Okracoke Island with Andrea Pretorian for July 4 weekend adventure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-29,N8432U,KHNZ,KHNZ,,1.4,,,0,0,2,1.4,0,0,0,1.4,1.4,0,0,0,Night air tour of Duke; Chapel Hill w/ Andrea Pretorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-26,N8432C,KHNZ,KHNZ,KHNZ-KIGX-KHNZ,1.3,,,73,2,0,0,0,0,0,1.3,1.3,0,0,0,Air tour of Duke w/ Kristen Gunderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-18,N8432C,KHNZ,KHNZ,,1,,,0,2,0,0,0,0,0,1,1,0,0,0,Air tour of Duke w/ Andrea Pretorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-05,N8432U,KHNZ,KHNZ,KHNZ-KMTV-KHNZ,2.3,,,147.6,2,0,0,0,1.9,2.3,0,2.3,0,2.3,0,Nav by ref to instruments and radio aids; RNAV. Instrument x-country w/ Chris O\'Connor; CFII. LOC-30 KMTV; LOC-6 KHNZ,1-LOC-KMTV-30-HOLDING,1-LOC-KHNZ-6-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-29,N8432C,KHNZ,KHNZ,KHNZ-KCRE-KISO-KHNZ,4.5,,,336,2,0,0,0,3.9,4.5,0,4.5,0,4.5,0,IFR X-country to meet FAR requirements. IFR clearance procedures; 3 instrument approach procedures; radar vectors to final and full approach procedures. No-gyro vectors to final. Circling procedure. w/ Chris O'Connor; CFII; VOR-23 KCRE; ILS-5 KISO; LOC-6 KHNZ,1-ILS-KISO-5-HOLDING,1-LOC-KHNZ-6-HOLDING,1-VOR-KCRE-23-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-26,N8432C,KHNZ,KHNZ,KHNZ-KGSO-KHNZ,2.3,,,140.6,2,0,0,0,2.1,2.3,0,2.3,0,2.3,0,Instrument x-country w/ Chris O\'Connor; CFII. ILS-23L KGSO; LOC-6 KHNZ.,1-ILS-KGSO-23L-HOLDING,1-LOC-KHNZ-6-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-09,N8432C,KHNZ,KJGG,KHNZ-KJGG,1.2,,,102,1,0,0,0,0,1.2,1.2,1.2,0,0,0,X-country to Williamsburg w/ Bill McManigle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-09,N8432C,KJGG,KHNZ,KJGG-KHNZ,1.5,,,102,1,0,0,0,0,1.5,1.5,1.5,0,0,0,From Williamsburg back to HNZ w/ Bill McManigle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,N8432U,KHNZ,KHNZ,KHNZ-KSIF-KMWK-KHNZ,2.4,,,196.4,2,1,0.4,0,0,2.4,2.4,2.4,0,0,0,X-country to Shiloh airport; Mt. Airy; back to KHNZ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-20,N8432C,KHNZ,KHNZ,,0.6,,,0,1,0,0,0,0,0,0.6,0.6,0,0,0,Quick flight with Kait Dalsey and Rebecca Patterson. Gusty landing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-15,N8432U,KHNZ,KHNZ,KHNZ-KTTA-KHNZ,1.5,,,108.7,2,0,0,0,0,1.5,1.5,1.5,0,0,0,Air tour of Duke; Chapel Hill; land at KTTA; back to KHNZ with Jace Carter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-12,N4844H,KHNZ,KHNZ,KHNZ-KBUY-KHNZ,1.3,,,99.2,2,0,0,0,0,1.3,1.3,1.3,0,0,0,X-country to KBUY; touch and go; chase weather back.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-07,N4844H,KHNZ,KHNZ,KHNZ-KTTA-KHNZ,1.5,,,108.7,0,2,0.7,0,0,1.5,1.5,1.5,0,0,0,Air tour of Duke; Chapel Hill; landing at KTTA; return to KHNZ w/ Christina Behrend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-06,N8432C,KHNZ,KHNZ,KHNZ-KFFA-KHNZ,4.1,,,280.6,1,1,1.6,0,0,4.1,4.1,4.1,0,0,0,Air tour of Duke; flight to KFFA; fly north along OBX; back to KHNZ via KECG. w/ Arwen Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-28,N8432U,KHNZ,KHNZ,,1.2,,,0,0,4,1.2,0,0,0,1.2,1.2,0,0,0,Night landings x 3; then air tour of Duke w/ Srishti & Sam Garvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-26,N8432C,KHNZ,KHNZ,,0.6,,,0,2,0,0,0,0.4,0,0,0.6,0,0.6,0,LOC/NDB-6 KHNZ circle to land 24. Crosswind landings. w/ Paul Hesse,1-LOC-KHNZ-6-HOLDING,1-NDB-KHNZ-6-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02-22,N8432C,KHNZ,KHNZ,,0.8,,,0,4,0,0,0,0.4,0,0,0.8,0,0,0,KHNZ orientation; refresher; 2x full KHNZ LOC-6 approaches w/ Matt McKee; safety pilot,2-LOC-KHNZ-6-HOLDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
